Id	RsUid	GbUid	AssemblyAccession	LastMajorReleaseAccession	AssemblyName	Taxid	Organism	SpeciesTaxid	SpeciesName	BioprojectAccn	BioSampleAccn	BioSampleId 
803121	3476428	3473088	GCF_001747815.1	GCF_001747815.1	ASM174781v1	246432	Staphylococcus equorum (firmicutes)	246432	Staphylococcus equorum	PRJNA301343	PRJNA224116	SAMN04244250	4244250
803091	3475288	3473018	GCF_001747745.1	GCF_001747745.1	ASM174774v1	1288	Staphylococcus xylosus (firmicutes)	1288	Staphylococcus xylosus	PRJNA301343	PRJNA224116	SAMN04244270	4244270
803071	3475368	3472988	GCF_001747735.1	GCF_001747735.1	ASM174773v1	1288	Staphylococcus xylosus (firmicutes)	1288	Staphylococcus xylosus	PRJNA301343	PRJNA224116	SAMN04244267	4244267
772171	3355398	3351228	GCF_001690435.1	GCF_001690435.1	ASM169043v1	1196095	Gilliamella apicola (g-proteobacteria)	1196095	Gilliamella apicola	PRJNA323464	PRJNA224116	SAMN05179614	5179614
769291	3399268	3343338	GCF_001685355.1	GCF_001685355.1	ASM168535v1	1915	Streptomyces lincolnensis (high GC Gram+)	1915	Streptomyces lincolnensis	PRJNA327477	PRJNA224116	SAMN05335414	5335414
758191	3318848	3303808	GCF_001665785.1	GCF_001665785.1	ASM166578v1	43304	Mycolicibacterium peregrinum (high GC Gram+)	43304	Mycolicibacterium peregrinum	PRJNA305922	PRJNA224116	SAMN04696154	4696154
757951	3396258	3303318	GCF_001665295.1	GCF_001665295.1	ASM166529v1	1834082	Mycobacterium sp. 1554424.7 (high GC Gram+)	1834082	Mycobacterium sp. 1554424.7	PRJNA305922	PRJNA224116	SAMN04634179	4634179
757921	3395558	3303238	GCF_001665235.1	GCF_001665235.1	ASM166523v1	1834067	Mycobacterium sp. 1100029.7 (high GC Gram+)	1834067	Mycobacterium sp. 1100029.7	PRJNA305922	PRJNA224116	SAMN04634185	4634185
756251	3312908	3299638	GCF_001663395.1	GCF_001663395.1	ASM166339v1	1715860	Staphylococcus sp. AntiMn-1 (firmicutes)	1715860	Staphylococcus sp. AntiMn-1	PRJNA295542	PRJNA224116	SAMN04075658	4075658
727061	3200718	3196808	GCF_001623065.1	GCF_001623065.1	ASM162306v1	989432	Pseudovibrio sp. Ad46 (a-proteobacteria)	989432	Pseudovibrio sp. Ad46	PRJNA298121	PRJNA224116	SAMN04147121	4147121
725271	3193068	3190898	GCF_000320985.2	GCF_000320985.2	ASM32098v2	1260132	Streptococcus parauberis KCTC 11980BP (firmicutes)	1348	Streptococcus parauberis	PRJDB705	PRJNA224116	SAMD00036649	4092329
721781	3399548	3171778	GCF_001612905.1	GCF_001612905.1	ASM161290v1	1210075	Nocardia ignorata NBRC 108230 (high GC Gram+)	145285	Nocardia ignorata	PRJDB162	PRJNA224116	SAMD00040654	4092402
716831	3902478	3161238	GCF_900012055.1	GCF_900012055.1	Peptoclostridium difficile	1496	Clostridioides difficile (firmicutes)	1496	Clostridioides difficile	PRJEB11776	PRJNA224116	SAMEA3664104	4602522
690038	690038	686378	GCF_000399345.1	GCF_000399345.1	Baci_cere_BMG1_7_V1	1053196	Bacillus cereus BMG1.7 (firmicutes)	1396	Bacillus cereus	PRJNA70357	PRJNA224116	SAMN02596828	2596828
678298	1087228	678298	GCF_000392875.1	GCF_000392875.1	Ente_faec_ATCC_19433_V1	1169286	Enterococcus faecalis ATCC 19433 (firmicutes)	1351	Enterococcus faecalis	PRJNA157741	PRJNA224116	SAMN00847602	847602
650558	650558	607248	GCF_000381605.1	GCF_000381605.1	ASM38160v1	1267534	Acidobacteriaceae bacterium KBS 89 (bacteria)	1267534	Acidobacteriaceae bacterium KBS 89	PRJNA183353	PRJNA224116	SAMN02441326	2441326
640518	640518	591828	GCF_000367365.1	GCF_000367365.1	ASM36736v1	1312234	Streptomyces prunicolor NBRC 13075 (high GC Gram+)	67348	Streptomyces prunicolor	PRJDB1071	PRJNA224116	SAMD00041815	4157938
635238	635238	603118	GCF_000372745.1	GCF_000372745.1	ASM37274v1	1123320	Embleya scabrispora DSM 41855 (high GC Gram+)	159449	Embleya scabrispora	PRJNA165453	PRJNA224116	SAMN02256465	2256465
631038	631038	588918	GCF_000364985.1	GCF_000364985.1	ASM36498v1	1266913	Thioalkalivibrio sp. HL-Eb18 (g-proteobacteria)	1266913	Thioalkalivibrio sp. HL-Eb18	PRJNA183047	PRJNA224116	SAMN02441072	2441072
621078	621078	406408	GCF_000280535.1	GCF_000280535.1	CloBeiG117,1.0	1200349	Clostridium beijerinckii G117 (firmicutes)	1520	Clostridium beijerinckii	PRJNA168606	PRJNA224116	SAMN02470653	2470653
618631	2793218	2788488	GCF_001514145.1	GCF_001514145.1	ASM151414v1	58343	Streptomyces canus (high GC Gram+)	58343	Streptomyces canus	PRJNA299229	PRJNA224116	SAMN04193350	4193350
615241	2783128	2779688	GCF_001507435.1	GCF_001507435.1	ASM150743v1	1609098	Streptomyces sp. NRRL F-5122 (high GC Gram+)	1609098	Streptomyces sp. NRRL F-5122	PRJNA238534	PRJNA224116	SAMN03327488	3327488
602721	2749048	2744728	GCF_001482385.1	GCF_001482385.1	ASM148238v1	43658	Pseudoalteromonas rubra (g-proteobacteria)	43658	Pseudoalteromonas rubra	PRJNA305221	PRJNA224116	SAMN04320552	4320552
602251	2750788	2739918	GCF_001481485.1	GCF_001481485.1	ASM148148v1	1335	Streptococcus equinus (firmicutes)	1335	Streptococcus equinus	PRJNA306242	PRJNA224116	SAMN04348604	4348604
590901	4875308	2705478	GCF_001458735.1	GCF_001458735.1	_COMA1_	1742972	Candidatus Nitrospira nitrosa (bacteria)	1742972	Candidatus Nitrospira nitrosa	PRJEB11445	PRJNA224116	SAMEA3638995	4270771
578471	2681268	2581418	GCF_001434005.1	GCF_001434005.1	ASM143400v1	1423736	Lactobacillus crispatus DSM 20584 = JCM 1185 (firmicutes)	47770	Lactobacillus crispatus	PRJNA222257	PRJNA224116	SAMN02369387	2369387
576191	2614058	2569468	GCF_001429475.1	GCF_001429475.1	Root131	1736451	Bacillus sp. Root131 (firmicutes)	1736451	Bacillus sp. Root131	PRJNA297942	PRJNA224116	SAMN04155720	4155720
573131	2573108	2563348	GCF_001423365.1	GCF_001423365.1	Leaf291	1736325	Aeromicrobium sp. Leaf291 (high GC Gram+)	1736325	Aeromicrobium sp. Leaf291	PRJNA297956	PRJNA224116	SAMN04151715	4151715
569801	2600148	2551628	GCF_000614565.2	GCF_000614565.1	Ec2010C-5034	1446603	Escherichia coli O153:H2 str. 2010C-5034 (E. coli)	562	Escherichia coli	PRJNA218110	PRJNA224116	SAMN02353010	2353010
503261	2397278	2395368	GCF_001315745.1	GCF_001315745.1	ASM131574v1	1342725	Bacteroides coprophilus JCM 13816 (CFB group bacteria)	387090	Phocaeicola coprophilus	PRJDB1136	PRJNA224116	SAMD00017008	4151270
502951	2397318	2393728	GCF_001315125.1	GCF_001315125.1	ASM131512v1	1236976	Paenibacillus pini JCM 16418 (firmicutes)	669461	Paenibacillus pini	PRJDB674	PRJNA224116	SAMD00000453	4091596
488701	2345368	2343948	GCF_001298555.1	GCF_001298555.1	Actinobacteria.strain_OV450_v1.0	1592328	Actinobacteria bacterium OV450 (high GC Gram+)	1592328	Actinobacteria bacterium OV450	PRJNA271676	PRJNA224116	SAMN03275775	3275775
488681	2345428	2343908	GCF_001298545.1	GCF_001298545.1	Actinobacteria.strain_OV320_v1.0	1592329	Actinobacteria bacterium OV320 (high GC Gram+)	1592329	Actinobacteria bacterium OV320	PRJNA271678	PRJNA224116	SAMN03275776	3275776
474291	2292718	2243118	GCF_001270485.1	GCF_001270485.1	P006IDBA	1938	Streptomyces viridochromogenes (high GC Gram+)	1938	Streptomyces viridochromogenes	PRJNA238534	PRJNA224116	SAMN02900583	2900583
461248	461248	166898	GCF_000144105.1	GCF_000144105.1	ASM14410v1	765121	Cutibacterium acnes HL082PA2 (high GC Gram+)	1747	Cutibacterium acnes	PRJNA49277	PRJNA224116	SAMN00189239	189239
460748	460748	168278	GCF_000144775.1	GCF_000144775.1	ASM14477v1	765117	Cutibacterium acnes HL002PA3 (high GC Gram+)	1747	Cutibacterium acnes	PRJNA49269	PRJNA224116	SAMN00189193	189193
460508	460508	168218	GCF_000144895.1	GCF_000144895.1	ASM14489v1	765080	Cutibacterium acnes HL110PA4 (high GC Gram+)	1747	Cutibacterium acnes	PRJNA49193	PRJNA224116	SAMN00189250	189250
456678	456678	456018	GCF_000179595.2	GCF_000179595.2	ASM17959v2	509191	Hungateiclostridium cellulolyticum CD2 (firmicutes)	35830	Acetivibrio cellulolyticus	PRJNA45843	PRJNA224116	SAMN02256541	2256541
424888	424888	420688	GCF_000294675.1	GCF_000294675.1	ASM29467v1	1200346	Alicyclobacillus hesperidum URH17-3-68 (firmicutes)	89784	Alicyclobacillus hesperidum	PRJNA168602	PRJNA224116	SAMN02471209	2471209
421168	421168	420648	GCF_000294655.1	GCF_000294655.1	Pm_DSM120	1150626	Magnetospirillum molischianum DSM 120 (a-proteobacteria)	1083	Magnetospirillum molischianum	PRJEA84415	PRJNA224116	SAMEA2272023	2483714
363811	2007798	1865798	GCF_001053405.1	GCF_001053405.1	ASM105340v1	43770	Corynebacterium striatum (high GC Gram+)	43770	Corynebacterium striatum	PRJNA267549	PRJNA224116	SAMN03197307	3197307
355631	1834568	1833298	GCF_001038925.1	GCF_001038925.1	ASM103892v1	83655	Leclercia adecarboxylata (enterobacteria)	83655	Leclercia adecarboxylata	PRJNA277417	PRJNA224116	SAMN03751784	3751784
350101	1818878	1807798	GCF_001027955.1	GCF_001027955.1	ASM102795v1	1660349	Kocuria sp. SM24M-10 (high GC Gram+)	1660349	Kocuria sp. SM24M-10	PRJNA285175	PRJNA224116	SAMN03732514	3732514
339571	1776148	1773878	GCF_001006805.1	GCF_001006805.1	Microvirga massiliensis JC119	1033741	Microvirga massiliensis (a-proteobacteria)	1033741	Microvirga massiliensis	PRJEB8433	PRJNA224116	SAMEA3246152	3579765
326311	1740818	1740578	GCF_000981215.1	GCF_000981215.1	ASM98121v1	74704	Staphylococcus cohnii subsp. cohnii (firmicutes)	29382	Staphylococcus cohnii	PRJNA275680	PRJNA224116	SAMN03352186	3352186
326131	1739838	1739418	GCF_000980895.1	GCF_000980895.1	ASM98089v1	1642949	Sphingomonas sp. Ag1 (a-proteobacteria)	1642949	Sphingomonas sp. Ag1	PRJNA281229	PRJNA224116	SAMN03486495	3486495
324448	324448	324428	GCF_000239775.1	GCF_000239775.1	ASM23977v2	566679	Bradyrhizobium sp. ORS 375 (a-proteobacteria)	566679	Bradyrhizobium sp. ORS 375	PRJNA72429	PRJNA224116	SAMEA3138406	3215852
322181	1728438	1727138	GCF_000972325.1	GCF_000972325.1	ASM97232v1	180282	Delftia tsuruhatensis (b-proteobacteria)	180282	Delftia tsuruhatensis	PRJNA278502	PRJNA224116	SAMN03457231	3457231
318641	1716218	1714168	GCF_000966245.1	GCF_000966245.1	ASM96624v1	2731756	Teredinibacter purpureus (g-proteobacteria)	2731756	Teredinibacter purpureus	PRJNA195847	PRJNA224116	SAMN02745865	2745865
317721	1715508	1712238	GCF_000964665.1	GCF_000964665.1	ASM96466v1	1359196	Rickettsia felis str. Pedreira (a-proteobacteria)	42862	Rickettsia felis	PRJNA212445	PRJNA224116	SAMN02666435	2666435
305088	305088	254248	GCF_000194155.1	GCF_000194155.1	ASM19415v1	994479	Saccharopolyspora spinosa NRRL 18395 (high GC Gram+)	60894	Saccharopolyspora spinosa	PRJNA63283	PRJNA224116	SAMN02470034	2470034
303251	1686978	1653398	GCF_000938255.1	GCF_000938255.1	ASM93825v1	1615890	Bradyrhizobium sp. LTSP849 (a-proteobacteria)	1615890	Bradyrhizobium sp. LTSP849	PRJNA275239	PRJNA224116	SAMN03340218	3340218
274718	274718	167518	GCF_000145275.1	GCF_000145275.1	ASM14527v1	573061	Clostridium cellulovorans 743B (firmicutes)	1493	Clostridium cellulovorans	PRJNA32609	PRJNA224116	SAMN00002614	2614
265278	265278	258558	GCF_000197735.1	GCF_000197735.1	ASM19773v1	861360	Glutamicibacter arilaitensis Re117 (high GC Gram+)	256701	Glutamicibacter arilaitensis	PRJEA50353	PRJNA224116	SAMEA2272213	2483892
247498	247498	244678	GCF_000186525.1	GCF_000186525.1	Coprobacillus_sp_29_1_V1	100884	Coprobacillus cateniformis (firmicutes)	100884	Coprobacillus cateniformis	PRJNA46361	PRJNA224116	SAMN02463848	2463848
235881	1474868	1424228	GCF_000804505.1	GCF_000804505.1	ASM80450v1	42862	Rickettsia felis (a-proteobacteria)	42862	Rickettsia felis	PRJNA258188	PRJNA224116	SAMN02989771	2989771
226901	1439158	1388108	GCF_000786655.1	GCF_000786655.1	ASM78665v1	223184	Kocuria marina (high GC Gram+)	223184	Kocuria marina	PRJNA235978	PRJNA224116	SAMN03072054	3072054
225538	225538	225518	GCF_000178855.1	GCF_000178855.1	ASM17885v1	485913	Ktedonobacter racemifer DSM 44963 (GNS bacteria)	363277	Ktedonobacter racemifer	PRJNA27943	PRJNA224116	SAMN02441796	2441796
221798	221798	221778	GCF_000176875.1	GCF_000176875.1	ASM17687v1	596312	Micrococcus luteus SK58 (high GC Gram+)	1270	Micrococcus luteus	PRJNA34071	PRJNA224116	SAMN00008343	8343
219761	2931828	1369478	GCF_000772045.1	GCF_000772045.1	ASM77204v1	1561022	Streptomyces sp. CCM_MD2014 (high GC Gram+)	1561022	Streptomyces sp. CCM_MD2014	PRJNA263735	PRJNA224116	SAMN03106103	3106103
219231	1372108	1367718	GCF_000770985.1	GCF_000770985.1	DSM-13734	1150461	Bifidobacterium scardovii JCM 12489 = DSM 13734 (high GC Gram+)	158787	Bifidobacterium scardovii	PRJNA237576	PRJNA224116	SAMN02442005	2442005
213781	1444338	1316458	GCF_000760015.1	GCF_000760015.1	ASM76001v1	167547	Prochlorococcus marinus str. MIT 9311 (cyanobacteria)	1219	Prochlorococcus marinus	PRJNA246696	PRJNA224116	SAMN02769557	2769557
212018	212018	211998	GCF_000171835.1	GCF_000171835.1	ASM17183v1	331869	alpha proteobacterium BAL199 (a-proteobacteria)	331869	alpha proteobacterium BAL199	PRJNA19281	PRJNA224116	SAMN02436095	2436095
210781	1473408	1202858	GCF_000754685.1	GCF_000754685.1	ASM75468v1	55208	Pectobacterium wasabiae (enterobacteria)	55208	Pectobacterium wasabiae	PRJNA258525	PRJNA224116	SAMN03010635	3010635
210441	1438458	1202128	GCF_000750055.1	GCF_000750055.1	ASM75005v1	1491	Clostridium botulinum (firmicutes)	1491	Clostridium botulinum	PRJNA259757	PRJNA224116	SAMN03012885	3012885
206531	1436218	1194278	GCF_000745965.1	GCF_000745965.1	ASM74596v1	1121860	Edaphobacter aggregans DSM 19364 (bacteria)	570835	Edaphobacter aggregans	PRJNA221034	PRJNA224116	SAMN02746092	2746092
203061	1639228	1187168	GCF_000739045.1	GCF_000739045.1	ASM73904v1	1915400	Streptomyces luteus (high GC Gram+)	1915400	Streptomyces luteus	PRJNA248928	PRJNA224116	SAMN02803977	2803977
201671	1449728	1182028	GCF_000736535.1	GCF_000736535.1	XBO_3527_PRJEB4323	1398202	Xenorhabdus bovienii str. oregonense (enterobacteria)	40576	Xenorhabdus bovienii	PRJEB4323	PRJNA224116	SAMEA3139088	3216534
193991	1168238	1160798	GCF_000721715.1	GCF_000721715.1	ASM72171v1	1476876	Streptomyces sp. NRRL B-24720 (high GC Gram+)	1476876	Streptomyces sp. NRRL B-24720	PRJNA238534	PRJNA224116	SAMN02645235	2645235
192801	1165128	1158438	GCF_000719335.1	GCF_000719335.1	ASM71933v1	1463920	Streptomyces sp. NRRL S-87 (high GC Gram+)	1463920	Streptomyces sp. NRRL S-87	PRJNA238534	PRJNA224116	SAMN02645444	2645444
176331	1122678	1065018	GCF_000686625.1	GCF_000686625.1	ASM68662v1	1123265	Sphingobacterium thalpophilum DSM 11723 (CFB group bacteria)	259	Sphingobacterium thalpophilum	PRJNA234806	PRJNA224116	SAMN02743379	2743379
141341	1132598	992958	GCF_000620625.1	GCF_000620625.1	ASM62062v1	1380386	Mycobacterium sp. URHB0044 (high GC Gram+)	1380386	Mycobacterium sp. URHB0044	PRJNA213774	PRJNA224116	SAMN02743948	2743948
141121	1111988	992518	GCF_000620185.1	GCF_000620185.1	ASM62018v1	1380353	Geodermatophilaceae bacterium URHB0062 (high GC Gram+)	1380353	Geodermatophilaceae bacterium URHB0062	PRJNA213790	PRJNA224116	SAMN02952994	2952994
138101	1083328	986348	GCF_000607165.1	GCF_000607165.1	assembly v1 of Ralstonia pickettii SSH4	329	Ralstonia pickettii (b-proteobacteria)	329	Ralstonia pickettii	PRJNA238509	PRJNA224116	SAMN02644835	2644835
120911	1442558	950368	GCF_000576305.1	GCF_000576305.1	ASM57630v1	1236976	Paenibacillus pini JCM 16418 (firmicutes)	669461	Paenibacillus pini	PRJDB674	PRJNA224116	SAMD00000453	4091596
108288	108288	27988	GCF_000027185.1	GCF_000027185.1	ASM2718v1	637909	Streptococcus gallolyticus UCN34 (firmicutes)	315405	Streptococcus gallolyticus	PRJEA34729	PRJNA224116	SAMEA2272396	2484052
91701	1080728	891058	GCF_000518045.1	GCF_000518045.1	StrExf1.0	1440059	Streptomyces exfoliatus DSM 41693 (high GC Gram+)	1905	Streptomyces exfoliatus	PRJNA232297	PRJNA224116	SAMN02597357	2597357
69401	820808	820788	GCF_000478365.1	GCF_000478365.1	Hputei1.0	1235558	Herbaspirillum huttiense subsp. putei IAM 15032 (b-proteobacteria)	863372	Herbaspirillum huttiense	PRJNA175917	PRJNA224116	SAMN02471379	2471379
59041	1114048	775458	GCF_000423085.1	GCF_000423085.1	ASM42308v1	1121933	Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570 (high GC Gram+)	266854	Granulicoccus phenolivorans	PRJNA185623	PRJNA224116	SAMN02440835	2440835
49611	802048	756958	GCF_000447825.1	GCF_000447825.1	LLT5.01	1234875	Lactococcus lactis subsp. cremoris TIFN5 (firmicutes)	1359	Lactococcus cremoris	PRJNA175673	PRJNA224116	SAMN02472112	2472112
40311	847068	729468	GCF_000421065.1	GCF_000421065.1	ASM42106v1	278963	Acidobacteriaceae bacterium TAA 166 (bacteria)	278963	Acidobacteriaceae bacterium TAA 166	PRJNA190839	PRJNA224116	SAMN02440899	2440899
38868	38868	18568	GCF_000017765.1	GCF_000017765.1	ASM1776v1	331112	Escherichia coli HS (E. coli)	562	Escherichia coli	PRJNA13959	PRJNA224116	SAMN02604037	2604037
34708	34708	14408	GCF_000013605.1	GCF_000013605.1	ASM1360v1	338969	Rhodoferax ferrireducens T118 (b-proteobacteria)	192843	Rhodoferax ferrireducens	PRJNA13908	PRJNA224116	SAMN02598320	2598320
33248	33248	12948	GCF_000012145.1	GCF_000012145.1	ASM1214v1	315456	Rickettsia felis URRWXCal2 (a-proteobacteria)	42862	Rickettsia felis	PRJNA13884	PRJNA224116	SAMN02603143	2603143
30968	30968	10228	GCF_000009425.1	GCF_000009425.1	ASM942v1	416870	Lactococcus lactis subsp. cremoris MG1363 (firmicutes)	1359	Lactococcus cremoris	PRJNA18797	PRJNA224116	SAMEA3138204	3215650
